Date,Open,High,Low,Close,Volume,Adj Close
2019-06-03,0,0,0,336.6300048828125,0,0
2019-06-04,0,0,0,353.3999938964844,0,0
2019-06-05,0,0,0,355.7300109863281,0,0
2019-06-06,0,0,0,357.1300048828125,0,0
2019-06-07,0,0,0,360.8699951171875,0,0
2019-06-10,0,0,0,352.010009765625,0,0
2019-06-11,0,0,0,351.2699890136719,0,0
2019-06-12,0,0,0,345.55999755859375,0,0
2019-06-13,0,0,0,343.42999267578125,0,0
2019-06-14,0,0,0,339.7300109863281,0,0
2019-06-17,0,0,0,350.6199951171875,0,0
2019-06-18,0,0,0,357.1199951171875,0,0
2019-06-19,0,0,0,363.5199890136719,0,0
2019-06-20,0,0,0,365.2099914550781,0,0
2019-06-21,0,0,0,369.2099914550781,0,0
2019-06-24,0,0,0,371.0400085449219,0,0
2019-06-25,0,0,0,360.29998779296875,0,0
2019-06-26,0,0,0,362.20001220703125,0,0
2019-06-27,0,0,0,370.0199890136719,0,0
2019-06-28,0,0,0,367.32000732421875,0,0
2019-07-01,0,0,0,374.6000061035156,0,0
2019-07-02,0,0,0,375.42999267578125,0,0
2019-07-03,0,0,0,381.7200012207031,0,0
2019-07-05,0,0,0,380.54998779296875,0,0
2019-07-08,0,0,0,376.1600036621094,0,0
2019-07-09,0,0,0,379.92999267578125,0,0
2019-07-10,0,0,0,381.0,0,0
2019-07-11,0,0,0,379.5,0,0
2019-07-12,0,0,0,373.25,0,0
2019-07-15,0,0,0,366.6000061035156,0,0
2019-07-16,0,0,0,365.989990234375,0,0
2019-07-17,0,0,0,362.44000244140625,0,0
2019-07-18,0,0,0,325.2099914550781,0,0
2019-07-19,0,0,0,315.1000061035156,0,0
2019-07-22,0,0,0,310.6199951171875,0,0
2019-07-23,0,0,0,307.29998779296875,0,0
2019-07-24,0,0,0,317.94000244140625,0,0
2019-07-25,0,0,0,326.4599914550781,0,0
2019-07-26,0,0,0,335.7799987792969,0,0
2019-07-29,0,0,0,332.70001220703125,0,0
2019-07-30,0,0,0,325.92999267578125,0,0
2019-07-31,0,0,0,322.989990234375,0,0
2019-08-01,0,0,0,319.5,0,0
2019-08-02,0,0,0,318.8299865722656,0,0
2019-08-05,0,0,0,307.6300048828125,0,0
2019-08-06,0,0,0,310.1000061035156,0,0
2019-08-07,0,0,0,304.2900085449219,0,0
2019-08-08,0,0,0,315.8999938964844,0,0
2019-08-09,0,0,0,308.92999267578125,0,0
2019-08-12,0,0,0,310.8299865722656,0,0
